"","x"
"1","MSOA11CD"
"2","MSOA11NM"
"3","LAD11CD"
"4","LAD11NM"
"5","RGN11CD"
"6","RGN11NM"
"7","USUALRES"
"8","HHOLDRES"
"9","COMESTRES"
"10","POPDEN"
"11","HHOLDS"
"12","AVHHOLDSZ"
"13","neighbours"
"14","long"
"15","lat"
"16","ID"
"17","Y"
"18","E"
"19","SIR"
"20","idareau"
"21","idareav"
"22","RR"
"23","LL"
"24","UL"
"25","areaName"
"26","percent_age_65_over"
"27","pc_hh_lone_parent"
"28","pc_white"
"29","pc_muslim"
"30","hh_mean_total_income"
"31","pc_v_good_health"
"32","pc_edu_L4"
